,index
422,"11:9  Sanjaya said: O King, having spoken thus, thereafter, Hari [Hari: destroyer of ignorance along with its consciences.] (Krsna) the great Master of Yoga, showed to the son of Prtha the supreme divine form:"
423,"11:10  Having many faces and eyes, possessing many wonderful sights, adorned with numerous celestial ornaments, holding many uplifted heavenly weapons;"
424,"11:11  Wearing heavenly garlands and apparel, anointed with heavenly scents, abounding in all kinds of wonder, resplendent, infinite, and with faces everywhere."
425,"11:12  Should the effulgence of a thousand suns blaze forth simultaneously in the sky, that might be similar to the radiance of that exalted One."
426,"11:13  At that time, Pandava saw there, in the body of the God of gods, the whole diversely differentiated Universe united in the one (Cosmic form)."
427,"11:14  Then, filled with wonder, with hairs standing on end, he, Dhananjaya, (Arjuna), bowing down with his head to the Lord, said with folded hands:"
428,"11:15  Arjuna said: O God, I see in Your body all the gods as also hosts of (various) classes of beings; Brahma the ruler, sitting on a lotus seat, and all the heavenly sages and serpents."
429,"11:16  I see You as possessed of numerous arms, bellies, mouths and eyes; as having infinite forms all around. O Lord of the Universe, O Cosmic Person, I see not Your limit nor the middle, nor again the beginning!"
430,"11:17  I see You as wearing a crown, wielding a mace, and holding a disc; a mass of brilliance glowing all around, difficult to look at from all sides, possessed of the radiance of the blazing fire and sun, and immeasurable."
431,"11:18  You are the Immutable, the supreme One to be known; You are the most perfect repository of this Universe. You are the Imperishable, the Protector of the ever-existing religion; You are the eternal Person. This is my belief."
432,"11:19  I see You as without beginning, middle and end, possessed of infinite valour, having innumerable arms, having the sun and the moon as eyes, having a mouth like a blazing fire, and heating up this Universe by Your own brilliance."
433,"11:20  Indeed, this intermediate space between heaven and earth as also all the directions are pervaded by You alone. O exalted One, the three worlds are struck with fear by seeing this strange, fearful form of Yours."
434,"11:21  Those very groups of gods enter into You; struck with fear, some extol (You) with joined palms. Groups of great sages and perfected beings praise You with elaborate hymns, saying 'May it be well!'"
435,"11:22  Those who are the Rudras, the Adityas, the Vasus and the Sadhyas [sadhyas: A particular class of celestial beings.], the Visve (-devas), the two Asvins, the Maruts and the Usmapas, and hosts of Gandharvas, Yaksas, demons and Siddhas-all of those very one’s gaze at You, being indeed struck with wonder."
436,"11:23  O mighty-armed One, seeing Your immense form with many mouths and eyes, having numerous arms, thighs and feet, with many bellies, and fearful with many teeth, the creatures are struck with terror, and so am I."
437,"11:24  O Visnu, verily, seeing Your form touching heaven, blazing, with many colours, open-mouthed, with fiery large eyes, I, becoming terrified in my mind, do not find steadiness and peace."
438,"11:25  Having merely seen Your mouths made terrible with (their) teeth and resembling the fire of Dissolution, I have lost the sense of direction and find no comfort. Be gracious, O Lord of gods, O Abode of the Universe."
439,"11:26  And into You (enter) all those sons of Dhrtarastra along with multitudes of the rulers of the earth; (also) Bhisma, Drona and that son of a Suta (Karna), together with even our prominent warriors. They rapidly enter into Your terrible mouths with cruel teeth! Some are seen sticking in the gaps between the teeth, with their heads crushed!"
440,"11:27  And into You (enter) all those sons of Dhrtarastra along with multitudes of the rulers of the earth; (also) Bhisma, Drona and that son of a Suta (Karna), together with even our prominent warriors. They rapidly enter into Your terrible mouths with cruel teeth! Some are seen sticking in the gaps between the teeth, with their heads crushed!"
441,11:28  As the numerous currents of the waters of rivers rush towards the sea alone so also do those heroes of the human world enter into Your blazing mouths.
442,"11:29  As moths enter with increased haste into a glowing fire for destruction, in that very way do the creatures enter into Your mouths too, with increased hurry for destruction."
443,11:30  You lick Your lips while devouring all the creatures from every side with flaming mouths which are completely filling the entire world with heat.
444,"11:31  Tell me who You are, fierce in form. Salutation be to you, O supreme God; be gracious. I desire to fully know You who are the Prima One. For I do not understand Your actions!"
445,"11:32  The Blessed Lord said: I am the world-destroying Time, [Time: The supreme God with His limiting adjunct of the power of action.] grown in stature [Pravrddhah, mighty] and now engaged in annihilating the creatures. Even without you, all the warriors who are arrayed in the confronting armies will cease to exist!"
446,"11:33  Therefore you rise up, (and) gain fame; and defeating the enemies, enjoy a prosperous kingdom. These have been killed verily by Me even earlier; be you merely an instrument, O Savyasacin (Arjuna)."
447,"11:34  You destroy Drona and Bhisma, and Jayadratha and Karna as also the other heroic warriors who have been killed by Me. Do not be afraid. Fight! You shall conquer the enemies in battle."
448,"11:35  Sanjaya said: Hearing this utterance of Kesava, Kiriti (Arjuna), with joined palms and trembling, prostrating himself, said again to Krsna with a faltering voice, bowing down overcome by fits of fear:"
449,"11:36  Arjuna said: It is proper, O Hrsikesa, that the world becomes delighted and attracted by Your praise; that the Raksasas, stricken with fear, run in all directions; and that all the groups of the Siddhas bow down (to You)."
450,"11:37  And why should they not bow down to You, O exalted [i.e. not narrow-minded.] One, who are greater (than all) and who are the first Creator even of Brahma! O infinite One, supreme God, Abode of the Universe, You are the Immutable, being and non-being, (and) that which is Transcendental."
451,"11:38  You are the primal Deity, the ancient Person; You are the supreme Resort of this world. You are the knower as also the object of knowledge, and the supreme Abode. O You of infinite forms, the Universe is pervaded by You!"
452,"11:39  You are Air, Death, Fire, the god of the waters, the moon, the Lord of the creatures, and the Greater-grandfather. Salutations! Salutation be to You a thousand times; salutation to You again and again! Salutation!"
453,"11:40  Salutation to You in the East and behind. Salutation be to You on all sides indeed, O All! You are possessed of infinite strength and infinite heroism. You pervade everything; hence You are all!"
454,"11:41  Without knowing this greatness of Yours, whatever was said by me (to You) rashly, through inadvertence or even out of intimacy, thinking (You to be) a friend, addressing (You) as 'O Krsna,' 'O Yadava,' 'O friend,' etc.-."
455,"11:42  And that You have been discourteously treated out of fun-while walking, while on a bed, while on a seat, while eating, in privacy, or, O Acyuta, even in public, for that I beg pardon of You, the incomprehensible One."
456,"11:43  You are the Father of all beings moving and non-moving; to this (world) You are worthy of worship, the Teacher, and greater (than a teacher). There is none equal to You; how at all can there be anyone greater even in all the three worlds, O You or unrivalled power?"
457,"11:44  Therefore, by bowing down and prostrating the body, I seek to propitiate You who are God and are adorable. O Lord, You should forgive (my faults) as would a father (the faults) of a son, as a friend, of a friend, and as a lover of a beloved."
458,"11:45  I am delighted by seeing something not seen heretofore, and my mind is stricken with fear. O Lord, show me that very form; O supreme God, O Abode of the Universe, be gracious!"
459,"11:46  I want to see You just as before, wearing a crown, wielding a mace, and holding a disc in hand. O You with thousand arms, O You of Cosmic form, appear with that very form with four hands."
460,"11:47  The Blessed Lord said: Out of grace, O Arjuna, this supreme, radiant, Cosmic, infinite, primeval form-which (form) of Mine has not been seen before by anyone other than you, has been shown to you by Me through the power of My Own Yoga."
461,"11:48  Not by the study of the Vedas and sacrifices, not by gifts, not even by rituals, not by severe austerities can I, in this form, be perceived in the human world by anyone ['By anyone who has not received My grace'. other than you, O most valiant among the Kurus."
462,"11:49  May you have no fear, and may not there be bewilderment by seeing this form of Mine so terrible Becoming free from fear and gladdened in mind again, see this very earlier form of Mine."
463,"11:50  Sanjaya said: Thus, having spoken to Arjuna in that manner, Vasudeva showed His own form again. And He, the exalted One, reassured this terrified one by again becoming serene in form."
464,"11:51  Arjuna said: O Janardana, having seen this serene human form of Yours, I have now become calm in mind and restored to my own nature."
465,11:52  The Blessed Lord said: This form of Mine which you have seen is very difficult to see; even the gods are ever desirous of a vision of this form.
466,"11:53  Not through the Vedas, not by austerity, not by gifts, nor even by sacrifice can I be seen in this form as you have seen Me."
467,"11:54  But, O Arjuna, by single-minded devotion am I-in this form-able to be known and seen in reality, and also be entered into, O destroyer of foes."
468,"11:55  O son of Pandu, he who works for Me, accepts Me as the supreme Goal, is devoted to Me, is devoid of attachment and free from enmity towards all beings-he attains Me."
469,"12:1  Arjuna said: Those devotees who, being thus ever dedicated, meditate on You, and those again (who meditate) on the Immutable, the Unmanifested-of them, who are the best experiencers of yoga [(Here) yoga means samadhi, spiritual absorption.] ?"
470,12:2  The Blessed Lord said: Those who meditate on Me by fixing their minds on Me with steadfast devotion (and) being endowed with supreme faith-they are considered to be the most perfect yogis according to Me.
471,"12:3  Those, however, who meditate in every way on the Immutable, the Indefinable, the Unmanifest, which is all-pervading, incomprehensible, change-less, immovable and constant. By fully controlling all the organs and always being even-minded, they, engaged in the welfare of all beings, attain Me alone."
472,"12:4  Those, however, who meditate in every way on the Immutable, the Indefinable, the Unmanifest, which is all-pervading, incomprehensible, change-less, immovable and constant. By fully controlling all the organs and always being even-minded, they, engaged in the welfare of all beings, attain Me alone."
473,"12:5  For them who have their minds attached to the Unmanifested the struggle is greater; for, the Goal which is the Unmanifest is attained with difficulty by the embodied ones."
474,"12:6  As for those who, having dedicated all actions to Me and accepted Me as the supreme, meditate by thinking of Me with single-minded concentration only-."
475,"12:7  O son of Prtha, for them who have their minds absorbed in Me, I become, without delay, the Deliverer from the sea of the world which is fraught with death."
476,12:8  Fix the mind on Me alone; in Me alone rest the intellect. There is no doubt that hereafter you will dwell in Me alone.
477,"12:9  If, however, you are unable to establish the mind steadily on Me, then, O Dhananjaya, seek to attain Me through the Yoga of Practice."
478,"12:10  If you are unable even to practise, be intent on works for Me. By undertaking works for Me as well, you will attain perfection. [Identity with Brahman.]"
479,"12:11  If you are unable to do even this, in that case, having resorted to the Yoga for Me, thereafter renounce the results of all works by becoming controlled in mind."
480,"12:12  Knowledge is surely superior to practice; meditation surpasses knowledge. The renunciation of the results of works (excels) meditation. From renunciation, Peace follows immediately."
481,"12:13  He who is not hateful towards any creature, who is friendly and compassionate, who has no idea of 'mine' and the idea of egoism, who is the same under sorrow and happiness, who is forgiving;"
482,"12:14  He who is ever content, who is a yogi, who has self-control, who has firm conviction, who has dedicated his mind and intellect to Me-he who is such a devotee of Mine is dear to Me."
483,"12:15  He, too, owing to whom the world is not disturbed, and who is not disturbed by the world, who is free from joy, impatience, fear and anxiety, is dear to Me."
484,"12:16  He who has no desires, who is pure, who is dextrous, who is impartial, who is free from fear, who has renounced every undertaking-he who is (such) a devotee of Mine is dear to Me."
485,"12:17  He who does not rejoice, does not fret, does not lament, does not hanker; who gives up good and bad, who is filled with devotion-he is dear to Me."
486,"12:18  He who is the same towards friend and foe, and so also in honour and dishonour; who is the same under cold, heat, happiness and sorrow, who is free from attachment to everything."
487,"12:19  The person to whom denunciation and praise are the same, who is silent, content with anything, homeless, steady-minded, and full of devotion is dear to Me."
488,"12:20  But [Tu (but) is used to distinguish those who have attained the highest Goal from the aspirants.] those devotees who accept Me as the supreme Goal, and with faith seek for this ambrosia which is indistinguishable from the virtues as stated above, they are very dear to Me."
489,"13:1  Arjun said: O Keshav, I wish to understand what are prakṛiti and puruṣh, and what are kshetra(field) and kshetrayajna(knower of the field)? I also wish to know what is true knowledge, and what is the goal of this knowledge?"
490,"13:2  The Blessed Lord said: O son of Kunti, this body is referred to as the 'field'. Those who are versed in this call him who is conscious of it as the 'knower of the field'."
491,"13:3  And, O scion of the Bharata dynasty, under-stand Me to be the 'Knower of the field' in all the fields. In My opinion, that is Knowledge which is the knowledge of the field and the knower of the field."
492,"13:4  Hear from Me in brief about (all) that as to what that field is and how it is; what its changes are, and from what cause arises what effect; and who He is, and what His powers are."
493,"13:5  It has been sung of in various ways by the Rshis, separately by the different kinds [The different branches of Vedic texts.] of Vedic texts, and also by the rational and convincing sentences themselves which are indicative of and lead to Brahman."
494,"13:6  The great elements, egoism, intellect and the Unmanifest itself; the ten organs and the one, and the five objects of the senses;"
495,"13:7  Desire, repulsion, happiness, sorrow, the aggregate (of body and organs), sentience, fortitude- this field, together with its modifications, has been spoken of briefly."
496,"13:8  Humility, unpretentiousness, non-injury, for-bearance, sincerity, service of the teacher, cleanliness, steadiness, control of body and organs;"
497,"13:9  Non-attachment with regard to objects of the senses, and also absence of egotism; seeing the evil in birth, death, old age, diseases and miseries;"
498,"13:10  Non-attachment and absence of fondness with regard to sons, wives, homes, etc., and constant equanimity of the mind with regard to the attainment of the desirable and the undesirable;"
499,13:11  And unwavering devotion to Me with single-minded concentration; inclination to repair into a clean place; lack of delight in a crowd of people;
500,"13:12  Steadfastness in the knowledge of the Self, contemplation on the Goal of the knowledge of Reality-this is spoken of as Knowledge. Ignorance is that which is other than this."
501,"13:13  I shall speak of that which is to be known, by realizing which one attains Immortality. The supreme Brahman is without any beginning. That is called neither being nor non-being."
502,"13:14  That (Knowable), which has hands and feet everywhere, which has eyes, heads and mouths everywhere, which has ears everywhere, exists in creatures by pervading them all."
503,"13:15  Shining through the functions of all the organs, (yet) devoid of all the organs; unattached, and verily the supporter of all; without quality, and the perceiver of qualities;"
504,"13:16  Existing outside and inside all beings; moving as well as non-moving, It is incomprehensible due to subtleness. So also, It is far away, and yet near."
505,"13:17  And the Knowable, though undivided, appears to be existing as divided in all beings, and It is the sustainer of all beings as also the devourer and originator."
506,"13:18  That is the Light even of the lights; It is spoken of as beyond darkness. It is Knowledge, the Knowable, and the Known. It exists specially in the hearts of all."
507,13:19  Thus has been spoken of in brief the field as also Knowledge and the Knowable. By understanding this My devotee becomes qualified for My state.
508,13:20  Know both Nature and also the individual soul to be verily without beginning; know the modifications as also the qualities as born of Nature.
509,"13:21  With regard to the source of body and organs, Nature is said to be the cause. The soul is the cause so far as enjoyer-ship of happiness and sorrow is concerned."
510,"13:22  Since the soul is seated in Nature, therefore it experiences the qualities born of Nature. Contact with the qualities is the cause of its births in good and evil wombs."
511,"13:23  He who is the Witness, the Permitter, the Sustainer, the Experiencer, the great Lord, and who is also spoken of as the transcendental Self is the supreme Person in this body."
512,"13:24  He who knows thus the Person and Nature along with the qualities will not be born again, in whatever way he may live."
513,"13:25  Through meditation some realize the Self in (their) intellect with the help of the internal organs; others through Sankhya-yoga, and others through Karma-yoga."
514,"13:26  Others, again, who do not know thus, take to thinking after hearing from others; they, too, who are devoted to hearing, certainly overcome death."
515,"13:27  O scion of the Bharata dynasty, whatever object, moving or non-moving, comes into being, know that to be from the association of the field and the Knower of the field!"
516,"13:28  He sees who sees the supreme Lord as existing equally in all beings, and as the Imperishable among the perishable."
517,"13:29  Since by seeing equally God who is present alike everywhere he does not injure the Self by the Self, therefore he attains the supreme Goal."
518,"13:30  And he who sees actions as being done in various ways by Nature itself, and also the Self as the non-agent, -he sees."
519,"13:31  When one realizes that the state of diversity of living things is rooted in the One, and that their manifestation is also from That, then one becomes identified with Brahman."
520,"13:32  Being without beginning and without qualities, O son of Kunti, this immutable, supreme Self does not act nor is It affected, although existing in the body."
521,"13:33  As the all-pervading space is not defiled, because of its subtlety, similarly the Self, present everywhere in the body, is not defiled."
522,"13:34  As the single sun illumines this whole world, similarly, O descendant of the Bharata dynasty, the Knower of the field illumines the whole field."
523,"13:35  Those who know thus through the eye of wisdom the distinction between the field and the Knower of the field, and the annihilation of the Matrix of beings, -they reach the Supreme."
524,"14:1  The Blessed Lord said: I shall speak again of the supreme Knowledge, the best of all knowledges, by realizing which all the contemplatives reached the highest Perfection from here."
525,"14:2  Those who attain identity with Me by resorting of this Knowledge are not born even during creation, nor do they suffer pain during dissolution."
526,"14:3  My womb is the great-sustainer. In that I place the seed. From that, O scion of the Bharata dynasty, occurs the birth of all things."
527,"14:4  O son of Kunti, whatever forms are born from all the wombs, of them the great-sustainer is the womb; I am the father who deposits the seed."
528,"14:5  O mighty-armed one, the qualities, viz sattva, rajas and tamas, born of Nature, being the immutable embodies being to the body."
529,"14:6  Among them, sattva, being pure, [Nirmala, pure-transparent, i.e., capable of resisting any form of ignorance, and hence as illuminator, i.e. a revealer of Consciousness.] is an illuminator and is harmless. O sinless one, it binds through attachment to happiness and attachment to knowledge."
530,"14:7  Know rajas to be of the nature of passion, born of hankering and attachment. O son of Kunti, that binds the embodied one through attachment to action."
531,"14:8  On the other hand, know tamas, which deludes all embodied beings, to be born of ignorance. O scion of the Bharata dynasty, that binds through inadvertence, laziness and sleep."
532,"14:9  O scion of the Bharata dynasty, sattva attaches one to happiness, rajas to action, while tamas, covering up knowledge, leads to inadvertence also."
533,"14:10  O scion of the Bharata dynasty, sattva increases by subduing rajas and tamas, rajas by overpowering sattva and tamas, and tamas by dominating over sattva and rajas."
534,"14:11  When the illumination that is knowledge radiates in this body through all the doors (of the senses), then one should know that sattva has increased greatly."
535,"14:12  O best of the Bharata dynasty, when rajas becomes predominant, these come into being: avarice, movement, undertaking of actions, unrest and hankering."
536,"14:13  O descendant of the Kuru dynasty, when tamas predominates these surely come into being: non-discrimination and inactivity, inadvertence and delusion."
537,"14:14  When an embodied one undergoes death while sattva is exclusively predominant, then he attains the taintless worlds of those who know the highest (entities)."
538,"14:15  When one dies while rajas predominates, he is born among people attached to activity. Similarly, when one dies while tamas predominates, he takes birth among the stupid species."
539,14:16  They say that the result of good work is pure and is born of sattva. But the result of rajas is sorrow; the result of tamas is ignorance.
540,"14:17  From sattva is born knowledge [Knowledge acquired through the sense-organs.], and from rajas, verily, avarice. From tamas are born inadvertence and delusion as also ignorance, to be sure."
541,"14:18  People who conform to sattva go higher up; those who conform to rajas stay in the middle; those who conform to tamas, who conform to the actions of the lowest quality, go down."
542,"14:19  When the witness sees none other than the qualities as the agent, and knows that which is superior [i.e. different from.] to the qualities, he attains My nature."
543,"14:20  Having transcended these three qualities which are the origin of the body, the embodied one, becoming free from birth, death, old age and sorrows, experiences Immortality."
544,"14:21  Arjuna said: O Lord, by what signs is one (known) who has gone beyond these three qualities? What is his behaviour, and how does he transcend these three qualities?"
545,"14:22  The Blessed Lord said: O son of Pandu, he neither dislikes illumination (knowledge), activity and delusion when they appear, nor does he long for them when they disappear."
546,"14:23  He who, sitting like one indifferent, is not distracted by the three qualities; he who, thinking that the qualities alone act, remains firm and surely does not move;"
547,"14:24  He to whom sorrow and happiness are alike, who is established in his own Self, to whom a lump of earth, iron and gold are the same, to whom the agreeable and the disagreeable are the same, who is wise, to whom censure and his own praise are the same;"
548,"14:25  He who is the same under honour and dishonour, who is equally disposed both towards the side of the friend and of the foe, who has renounced all enterprise, -he is said to have gone beyond the qualities."
549,"14:26  And he who serves Me through the unswerving Yoga of Devotion, he, having gone beyond these qualities, qualifies for becoming Brahman."
550,"14:27  For I am the Abode of Brahman-the indestructible and immutable, the eternal, the Dharma and absolute Bliss."
551,"15:1  The Blessed Lord said: They say that the peepul Tree, which has its roots upward and the branches downward, and of which the Vedas are the leaves, is imperishable. He who realizes it is knower of the Vedas."
552,"15:2  The branches of that (Tree), extending down-wards and upwards, are strengthened by the qualities and have sense-objects as their shoots. And the roots, which are followed by actions, spread down-wards in the human world."
553,"15:3  Its form is not perceived here in that way; nor its end, nor beginning, nor continuance, after felling this Peepul whose roots are well developed, with the strong sword of detachment-;"
554,"15:4  Thereafter, that State has to be sought for, going where they do not return again: I take refuge in that Primeval Person Himself, from whom has ensued the eternal Manifestation."
555,"15:5  The wise ones who are free from pride and non-discrimination, who have conquered the evil of association, [Hatred and love arising from association with foes and friends.] who are ever devoted to spirituality, completely free from desires, free from the dualities called happiness and sorrow, reach that undecaying State."
556,"15:6  Neither the sun nor the moon nor fire illumines That. That is My Supreme Abode, reaching which they do not return."
557,"15:7  It is verily a part of Mine which, becoming the eternal individual soul in the region of living beings, draws (to itself) the organs which have the mind as their sixth, and which abide in Nature."
558,"15:8  When the master leaves it and even when he assumes a body, he departs taking these, as wind (carries away) odours from their receptacles."
559,"15:9  This one enjoys the objects by presiding over the ear, eyes, skin and tongue as also the nose and the mind."
560,"15:10  Persons who are diversely deluded do not see it even when it is leaving or residing (in this body), or experiencing, or in association with the qualities. Those with the eye of knowledge see."
561,15:11  And the yogis who are diligent see this one as existing in themselves. The non-discriminating ones who lack self-control do not see this one-though (they be) diligent.
562,"15:12  That light in the sun which illumines the whole world, that which is in the moon, and that which is in fire, -know that light to be Mine."
563,15:13  And entering the earth I sustain the beings through (My) power; and nourish all the plants by becoming Soma which is of the nature of sap.
564,"15:14  Taking the form of Vaisvanara and residing in the bodies of creatures, I, in association with Prana and Apana, digest the four kinds of food."
565,"15:15  And I am seated in the hearts of all. From Me are memory, knowledge and their loss. I alone am the object to be known through all the Vedas; I am also the originator of the Vedanta, and I Myself am the knower of the Vedas."
566,15:16  There are these two persons in the world-the mutable and the immutable. The mutable consists of all things; the one existing as Maya is called the immutable.
567,"15:17  But different is the supreme Person who is spoken of as the transcendental Self, who, permeating the three worlds, upholds (them), and is the imperishable God."
568,"15:18  Since I am transcendental to the mutable and above even the immutable, hence I am well known in the world and in the Vedas as the supreme Person."
569,"15:19  O scion of the Bharata dynasty, he who, being free from delusion, knows Me the supreme Person thus, he is all-knowing and adores Me with his whole being."
570,"15:20  O sinless one, this most secret scripture has thus been uttered by Me. Understanding this, one becomes wise and has his duties fulfilled, O scion of the Bharata dynasty."
571,"16:1  The Blessed Lord said: Fearlessness, purity of mind, persistence in knowledge and yoga, charity and control of the external organs, sacrifice, (scriptural) study, austerity and rectitude;"
572,"16:2  Non-injury, truthfulness, absence of anger, renunciation, control of the internal organ, absence of vilification, kindness to creatures, non-covetousness, gentleness, modesty, freedom from restlessness;"
573,"16:3  Vigour, forgiveness, fortitude, purity, freedom from malice, absence of haughtiness-these, O scion of the Bharata dynasty, are (the qualities) of one born destined to have the divine nature."
574,"16:4  O son of Prtha, (the attributes) of one destined to have the demoniacal nature are religious ostentation, pride and haughtiness, anger as also rudeness and ignorance."
575,"16:5  The divine nature is the Liberation, the demoniacal is considered to be for inevitable bondage. Do not grieve, O son of Pandu! You are destined to have the divine nature."
576,"16:6  In this world there are two (kinds of) creation of beings: the divine and the demoniacal. The divine has been spoken of elaborately. Hear about the demoniacal from Me, O son of Prtha."
577,"16:7  Neither do the demoniacal persons under-stand what is to be done and what is not to be done; nor does purity, or even good conduct or truthfulness exist in them."
578,"16:8  They say that the world is unreal, it has no basis, it is without a God. It is born of mutual union brought about by passion! What other (cause can there be)?"
579,"16:9  Holding on to this view, (these people) who are of depraved character, of poor intellect, given to fearful actions and harmful, wax strong for the ruin of the world."
580,"16:10  Giving themselves up to insatiable passion, filled with vanity, pride and arrogance, adopting bad objectives due to delusion, and having impure resolves, they engage in actions."
581,"16:11  Beset with innumerable cares which end (only) with death, holding that the enjoyment of desirable objects is the highest goal, feeling sure that this is all."
582,"16:12  Bound by hundreds of shackles in the form of hope, giving themselves wholly to passion and anger, they endeavour to amass wealth through foul means for the enjoyment of desirable objects."
583,"16:13  This has been gained by me today; I shall acquire this desired object. This is in hand; again, this wealth also will come to me."
584,"16:14  That enemy has been killed by me, and I shall kill others as well. I am the lord, I am the enjoyer, I am well-established, mighty and happy."
585,"16:15  I am rich and high-born; who else is there similar to me? I shall perform sacrifices; I shall give, I shall rejoice,'-thus they are diversely deluded by non-discrimination. Bewildered by numerous thoughts, caught in the net of delusion, (and) engrossed in the enjoyment of desirable objects, they fall into a foul hell."
586,"16:16  I am rich and high-born; who else is there similar to me? I shall perform sacrifices; I shall give, I shall rejoice,'-thus they are diversely deluded by non-discrimination. Bewildered by numerous thoughts, caught in the net of delusion, (and) engrossed in the enjoyment of desirable objects, they fall into a foul hell."
587,"16:17  Self-conceited, haughty, filled with pride and intoxication of wealth, they perform sacrifices which are so in name only, with ostentation and regardless of the injunctions."
588,"16:18  Resorting to egotism, power, arrogance, passion and anger, hating Me in their own and others' bodies, (they become) envious by nature."
589,"16:19  I cast for ever those hateful, cruel, evil-doers in the worlds, the vilest of human beings, verily into the demoniacal classes."
590,"16:20  Being born among the demoniacal species in births after births, the foods, without ever reaching Me, O son of Kunti, attain conditions lower than that."
591,"16:21  This door of hell, which is the destroyer of the soul, is of three kinds-passion, anger and also greed. Therefore, one should forsake these three."
592,"16:22  O son of Kunti, a person who is free from these three doors to darkness strives for the good of the soul. Then, he attains the highest Goal."
593,"16:23  Ignoring the precept of the scriptures, he who acts under the impulsion of passion, -he does not attain perfection, nor happiness, nor the supreme Goal."
594,"16:24  Therefore, the scripture is your authority as regards the determination of what is to be done and what is not to be done. After understanding (your) duty as presented by scriptural injunction, you ought to perform (your duty) here."
595,"17:1  Arjuna said: But, O Krsna, what is the state [i.e., where do the rites undertaken by them end?] of those who, endued with faith, adore [Adore-perform sacrifices, distribute wealth etc. in honour of gods and others.] by ignoring the injunctions of the scriptures? Is it sattva, rajas or tamas?"
596,"17:2  The Blessed Lord said: That faith of the embodied beings, born of their own nature, is threefold-born of sattva, rajas and tamas. Hear about it."
597,"17:3  O scion of the Bharata dynasty, the faith of all beings is in accordance with their minds. This person is made up of faith as the dominant factor. He is verily what his faith is."
598,"17:4  Those having the sattva quality worship the gods; those having rajas, the demi-gods and ogres; and other people possessed of tamas worship ghosts and the hosts of spirits."
599,"17:5  Those persons who, given to ostentation and pride, and possessed of passion, attachment and strength, undertake severe austerities not sanctioned in the scriptures;"
600,"17:6  (And who,) being non-discriminating, torture, all the organs in the body as also even Me who reside in the body, -know them as possessed of demoniacal conviction."
601,"17:7  Food also, which is dear to all, is of three kinds; and so also are sacrifices, austerity and charity. Listen to this classification of them."
602,"17:8  Foods that augment life, firmness of mind, strength, health, happiness and delight, and which are succulent, oleaginous, substantial and agreeable, are dear to one endowed with sattva."
603,"17:9  Foods that are bitter, sour, salty, very hot, pungent, dry and burning, and which production pain, sorrow and disease, are dear to one having rajas."
604,"17:10  Food which is not properly cooked, lacking in essence, putrid and stale, and even ort and that which is unfit for sacrifice, is dear to one possessed of tamas."
605,"17:11  That sacrifice which is in accordance with the injunctions, (and is) performed by persons who do not hanker after results, and with the mental conviction that it is surely obligatory, is done through sattva."
606,"17:12  But that sacrifice which is performed having in view a result, as also for ostentation, -know that sacrifice to be done through rajas, O greatest among the descendants of Bharata."
607,"17:13  They declare that sacrifice as 'done through tamas' which is contrary to injunction, in which food is not distributed, in which mantras are not used, in which offerings are not made to priests, and which is devoid of faith."
608,"17:14  The worship of gods, twice-born, venerable persons and the wise; purity, straightforwardness, celibacy and non-injury, -are said to be bodily austerity."
609,"17:15  That speech which causes no pain, which is true, agreeable and beneficial; as well as the practice of study of the scriptures, -is said to be austerity of speech."
610,"17:16  Tranquillity of mind, gentleness, reticence, withdrawal of the mind, purity of heart, -these are what is called mental austerity."
611,"17:17  When that threefold austerity is undertaken with supreme faith by people who do not hanker after results and are self-controlled, they speak of it as born of sattva."
612,"17:18  That austerity which is undertaken for earning a name, being honoured and worshipped, and also ostentatiously, -that is spoken of as born of rajas, belonging to this world, uncertain and transitory."
613,"17:19  That austerity which is undertaken with a foolish intent, by causing pain to oneself, or for the destruction of others-that is said to be born of tamas."
614,"17:20  That gift is referred to as born of sattva which gift is given with the idea that it ought to be given, to one who will not serve in return, and at the (proper) place, (proper) time and to a (proper) person."
615,"17:21  But the gift which is given expecting reciprocation, or again, with a desire for its result, and which is given grudgingly, - that is considered to be born of rajas."
616,"17:22  The gift which is made at an improper place and time, and to undeserving persons, without proper treatment and with disdain, is declared to be born of tamas."
617,"17:23  'Om-tat-sat' ['Om, That, Existence': 'Om iti brahma, Om is Brahman'; 'Tattvamasi, Thou art That'; and 'Sadeva somya idamagra asit, This was Existence alone in the beginning, O amiable one'-in these texts Brahman is indicated by the words Om, tat, sat.]-this is considered to be the threefold designation of Brahman. The Brahmanas and Vedas and the sacrifices were ordained by that in the days of yore."
618,"17:24  Therefore, acts of sacrifice, charity and austerity as prescribed through injunctions, of those who study and expound the Vedas, always commence after uttering the syllable Om."
619,"17:25  After (uttering) the word tat, acts of sacrifice and austerity as also the various acts of charity are performed without regard for results by persons aspiring for Liberation."
620,"17:26  This word sat is used with regard to (something) coming into being and with regard to (someone) becoming good. So also, O son of Prtha, the word sat is used with regard to an auspicious rite."
621,"17:27  And the steadfastness in sacrifice, austerity and charity is spoken of as sat. And even the action meant for these is, verily, called as sat (good)."
622,"17:28  O son of Prtha, whatever is offered in sacrifice and given in charity, as also whatever austerity is undertaken or whatever is done without, faith, is said to be of on avail. And it is of no conscience after death, nor here."
623,"18:1  Arjuna said: O mighty-armed Hrsikesa, O slayer of (the demon) Kesi, I want to know severally the truth about sannyasa as also about tyaga."
